date,name,artist,value,category,rank
16,HUMBLE.,Kendrick Lamar,20017050,male,1
16,DNA.,Kendrick Lamar,14489827,male,2
16,Mask Off,Future,10968796,male,3
16,Despacito - Remix,Luis Fonsi,10924444,male,4
16,XO TOUR Llif3,Lil Uzi Vert,10278300,male,5
16,ELEMENT.,Kendrick Lamar,9028611,male,6
16,LOVE. FEAT. ZACARI.,Kendrick Lamar,8860544,male,7
16,LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,8491077,male,8
16,Passionfruit,Drake,7912671,male,9
16,iSpy,KYLE,7775228,male,10
